Position_title,organization_hiring,duty_station,position_status,date_posted,limit_date,job_description
Research assistant on Trade,United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),,Posted Yesterday,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54249085
ASSOCIATE STATISTICIAN (Temporary Job Opening) [Temporary],United Nations Conference on Trade and Development (UNCTAD),Geneva (Switzerland),Entry Professional,Posted Yesterday,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/54249080
"Associate Statistician, DMD/TMI",United Nations Secretariat (UN),Geneva (Switzerland),Entry Professional,Posted Yesterday,Close on 17 Mar 2023,https://www.unjobnet.org/jobs/detail/54249077
Project Analyst (Protected Areas) (NPSA-8),United Nations Development Programme (UNDP),Turkmenistan,Consultancy,Posted Yesterday,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54248511
Administration Senior Analyst,United Nations Office for Project Services (UNOPS),Baghdad (Iraq),Entry Professional,Posted Yesterday,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54245908
Research Investigator (Adv#71/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted Yesterday,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54243600
Senior Research Investigator (Adv#72/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted Yesterday,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54243599
Consultancy for Developing A Toolkit For Integrating Child Rights In The National Strategy For Development Of Statistics (NSDS) Remote,United Nations Children's Fund (UNICEF),Djibouti (Djibouti) Kuwait (Kuwait) Hong Kong (Hong Kong) Macau (Macao) Singapore (Singapore) Bissau (Guinea-Bissau) Sao Tome (Sao Tome and Principe) Gao (Mali) Monaco (Monaco) San Marino (San Marino) Puerto Rico (Argentina) Montenegro (Brazil) Montenegro (Colombia) Panama City (Panama) Vatican City (Vatican) RwandaSomaliaYemenIraqSaudi ArabiaIranCyprusTanzaniaSyriaArmeniaKenyaDemocratic Republic of the CongoUgandaCentral African RepublicSeychellesJordanLebanonOmanQatarBahrainIsraelTurkeyEthiopiaEritreaEgyptSudanGreeceBurundiEstoniaLatviaAzerbaijanLithuaniaGeorgiaMoldovaBelarusFinlandUkraineBulgariaAlbaniaPolandRomaniaKosovoZimbabweZambiaComorosMalawiLesothoBotswanaMauritiusEswatiniSouth AfricaMozambiqueMadagascarAfghanistanPakistanBangladeshTurkmenistanTajikistanSri LankaBhutanIndiaMaldivesNepalMyanmarUzbekistanKazakhstanKyrgyzstanPalauThailandIndonesiaLaosPhilippinesMalaysiaChinaCambodiaSouth KoreaCook IslandsEast TimorMongoliaAustraliaMarshall IslandsMicronesiaPapua New GuineaSolomon IslandsNauruNew ZealandFijiLibyaCameroonSenegalPortugalLiberiaIvory CoastGhanaEquatorial GuineaNigeriaBurkina FasoTogoMauritaniaBeninGabonSierra LeoneGambiaGuineaChadNigerWestern SaharaTunisiaMoroccoMaltaAlgeriaIcelandNetherlandsAustriaLuxembourgIrelandAndorraLiechtensteinSlovakiaCzechiaNorwaySloveniaMontenegroCroatiaAngolaNamibiaBarbadosGuyanaSurinameParaguayUruguayJamaicaDominican RepublicCubaBahamasTrinidad and TobagoSaint Kitts and NevisDominicaSaint LuciaGrenadaBelizeEl SalvadorGuatemalaHondurasNicaraguaCosta RicaVenezuelaEcuadorHaitiChileBoliviaPeruMexicoTongaSamoaNiuePuerto RicoCanadaPalestinian TerritorySerbiaSouth SudanNetherlands Antilles,Locallly Recruited,Posted Yesterday,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54242191
"CFA 2023 09 Reporting Officer (Regional Data Hub) (UG) Bangkok, Thailand",International Organization for Migration (IOM),Bangkok (Thailand),,Posted 2 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54236517
"Junior Specialist - Software Platform Engineering Software Solutions, Data Resilience, Continuous Improvement",International Rice Research Institute (IRRI),Philippines,,Posted 2 days ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54235145
Field Research Supervisor (Adv#69/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54234193
Research Assistant on LGBT Rights in the Middle East and North Africa,Human Rights Watch,,,Posted 2 days ago,Close on 15 Mar 2023,https://www.unjobnet.org/jobs/detail/54228971
DATA ENGINEER,Department for General Assembly and Conference Management (UN DGACM),Vienna (Austria),Mid-level Professional,Posted 2 days ago,Close on 30 Mar 2023,https://www.unjobnet.org/jobs/detail/54226719
Research Specialist Regional platform for Latin America and the Caribbean Food Action Alliance,Bioversity International,,,Posted 2 days ago,,https://www.unjobnet.org/jobs/detail/54225163
Research Technician I (N-23-18),International Potato Center (CIP),India,Full-time,Posted 2 days ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/54217104
DATA ENGINEER (TJO) [Temporary],Office of the United Nations High Commissioner for Human Rights (OHCHR),Geneva (Switzerland),Mid-level Professional,Posted 2 days ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/54214892
Statistics and Data Specialist Consultant,United Nations Development Programme (UNDP),New York (United States),Consultancy,Posted 2 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54214304
Research and Data Analyst Consultant,United Nations Development Programme (UNDP),New York (United States),Consultancy,Posted 2 days ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/54214303
Knowledge and Programme Management Analyst- Consultant,United Nations Development Programme (UNDP),New York (United States),Consultancy,Posted 2 days ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/54214302
"Programme Analyst, Women Peace and Security",United Nations Development Programme (UNDP),Jakarta (Indonesia),Entry Professional,Posted 2 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54214300
ERP Business Analyst,International Criminal Police Organization (Interpol),Lyon (France),,Posted 2 days ago,Close on 7 Mar 2023,https://www.unjobnet.org/jobs/detail/54212197
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Procurement Analyst (NOA),United Nations Development Programme (UNDP),Asmara (Eritrea),Entry Professional,Posted 2 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54209536
"Programme Assistant (CBT) FT, G5, Cairo",World Food Programme (WFP),Cairo (Egypt),General Support,Posted 2 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54209257
"Data Analyst Consultant, FINR",World Food Programme (WFP),Italy,Consultancy,Posted 2 days ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54209254
"Investment Analyst, Disruptive Tech and Venture Capital, SE Asia - Investment",International Finance Corporation (IFC),Singapore (Singapore),,Posted 2 days ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/54208347
Investment Analyst - Investment,International Finance Corporation (IFC),Jakarta (Indonesia),,Posted 2 days ago,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/54208345
Data Scientist,Organisation for Economic Co-operation and Development (OECD),Paris (France),,Posted 2 days ago,Close on 7 Mar 2023,https://www.unjobnet.org/jobs/detail/54206687
Consultant on SDG statistics,United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),Bangkok (Thailand),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54205365
"National MICS Consultant, Astana, Kazakhstan, 18 months",United Nations Children's Fund (UNICEF),Astana (Kazakhstan),Consultancy,Posted 2 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54205351
"Data Analyst – IITA, Rwanda",Bioversity International,Rwanda,,Posted 2 days ago,,https://www.unjobnet.org/jobs/detail/54203813
"Research Associate – IITA, Rwanda",Bioversity International,Rwanda,,Posted 2 days ago,,https://www.unjobnet.org/jobs/detail/54203812
Roster of consultants – Mixed methods research in perinatal and child health,World Health Organization (WHO),Multiple locations,,Posted 2 days ago,Close on 7 Mar 2023,https://www.unjobnet.org/jobs/detail/54201802
Roster of consultants – Health Accounts Data,World Health Organization (WHO),Multiple locations,,Posted 2 days ago,Close on 7 Mar 2023,https://www.unjobnet.org/jobs/detail/54201801
Knowledge and Data Analyst (NPSA8),United Nations Development Programme (UNDP),Dhaka (Bangladesh),Full-time,Posted 2 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54197921
Project Officer (Analyst) (Operations and Finance) (NPSA9),United Nations Development Programme (UNDP),Honiara (Solomon Islands),Full-time,Posted 2 days ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/54197920
Data Coordinator,FHI 360,Thailand,,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54187438
Associate Project Analyst (NS)(P2),International Atomic Energy Agency (IAEA),Vienna (Austria),Entry Professional,Posted 3 days ago,Close on 14 Mar 2023,https://www.unjobnet.org/jobs/detail/54186689
Caribbean diaspora groups survey (Personas),International Organization for Migration (IOM),Costa Rica,Consultancy,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54181756
Suriname diaspora groups survey (Personas),International Organization for Migration (IOM),Costa Rica,Consultancy,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54181755
"UN Women National Consultant to provide legal expertise on gender equality, including capacity building programmes for central public institutions in line with the Women, Peace and Security Agenda",UN Women,Chisinau (Moldova),Consultancy,Posted 3 days ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/54177977
"Senior M& E Analyst, TB","The Clinton Health Access Initiative, Inc. (CHAI)",India,,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54177440
Procurement senior officer Multiple duty stations (Libya/ Tunisia),United Nations Office for Project Services (UNOPS),LibyaTunisia,Entry Professional,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54176245
Research Assistant on Agriculture and Livelihood,United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54172577
Research Assistant,United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54172576
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
International Consultant - Cultural Statistics Expert,United Nations Development Programme (UNDP),Riyadh (Saudi Arabia),Chief and Senior Professional,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54167371
"Project Analyst (Artificial Intelligence) (NPSA-8), Multiple Post: Full-time and Part-time (60%)",United Nations Development Programme (UNDP),Belgrade (Serbia),Consultancy,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54167367
Data Quality Officer,World Health Organization (WHO),Dubai (United Arab Emirates),Mid-level Professional,Posted 3 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54166589
Senior Investment and Risk Analyst,Bank for International Settlements (BIS),,,Posted 3 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54164683
Research Associate for Data Analysis – Food Environment and Consumer Behavior (FECB) Asia,Bioversity International,,,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54161791
"Research Specialist, ECPGR (Rome, Italy)",Bioversity International,Rome (Italy),,Posted 3 days ago,,https://www.unjobnet.org/jobs/detail/54161790
Consultant - WHO Ethics of Research Priority setting project,World Health Organization (WHO),Multiple locations,,Posted 3 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54159820
Data Manager,World Health Organization (WHO),Brazzaville (Republic of the Congo),Full-time,Posted 3 days ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/54159818
"Scientist, Research for Implementation",World Health Organization (WHO),Geneva (Switzerland),Mid-level Professional,Posted 3 days ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/54159817
E T Consultant - Research - Other,International Finance Corporation (IFC),Washington DC (United States),,Posted 3 days ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/54159424
E T Consultant - Climate Change,World Bank,Washington DC (United States),,Posted 4 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54154901
Evaluation Data Associate,Green Climate Fund (GCF),Incheon (South Korea),,Posted 4 days ago,,https://www.unjobnet.org/jobs/detail/54153314
Local Researcher Mali (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy) Mali,,Posted 3 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152049
Local Researcher Niger (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152048
Local Researcher Mauritania (Gender/PVE),United Nations Interregional Crime and Justice Research Institute (UNICRI),Turin (Italy),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54152047
Data Management Assistant,WorldFish,,,Posted 4 days ago,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/54149566
"Monitoring and Evaluation Analyst, Mongolia CO, NOB",United Nations Development Programme (UNDP),Ulaanbaatar (Mongolia),Entry Professional,Posted 4 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54146947
"Poste National: Analyste de Programme, Genre & Droits Humains (VGB), Lomé Togo, NOB",United Nations Population Fund (UNFPA),Lome (Togo),Entry Professional,Posted 4 days ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/54140387
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Statistician [Temporary],United Nations Department of Economic and Social Affairs (UN DESA),New York (United States),Mid-level Professional,Posted 6 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54055756
RESEARCH ASSISTANT,United Nations Secretariat (UN),New York (United States),Associate,Posted 6 days ago,Close on 11 Mar 2023,https://www.unjobnet.org/jobs/detail/54055753
Caribbean diaspora groups survey (Empresas),International Organization for Migration (IOM),,Consultancy,Posted 6 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54054338
Suriname diaspora groups survey (Empresas),International Organization for Migration (IOM),,Consultancy,Posted 6 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54054337
Israel and Palestine Assistant Researcher,Human Rights Watch,Israel,,Posted 6 days ago,Close on 5 Mar 2023,https://www.unjobnet.org/jobs/detail/54052265
Researcher Zanzibar: Youth Upskilling Strategy,United Nations Development Programme (UNDP),Tanzania,Consultancy,Posted 6 days ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54043294
Administration officer,United Nations Office for Project Services (UNOPS),Bangui (Central African Republic),Entry Professional,Posted 6 days ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/54042825
Humanitarian Analyst,Save the Children International (Save the Children),Multiple locations,,Posted 6 days ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/54040929
Business Management Analyst (NPSA-8),United Nations Development Programme (UNDP),Belgrade (Serbia),Consultancy,Posted 6 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54038516
"SVN 2023 37 Conflict Analyst (P3) Juba, South Sudan",International Organization for Migration (IOM),Juba (South Sudan),Mid-level Professional,Posted 6 days ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54038084
Operations Analyst for BARMM - Operations,World Bank,Manila (Philippines),,Posted 6 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54037336
Programme Analyst – DEA (NPSA8) (Re-advertisement),United Nations Development Programme (UNDP),New Delhi (India),Full-time,Posted 6 days ago,Closing soon: 25 Feb 2023,https://www.unjobnet.org/jobs/detail/54033788
Data Governance Analyst,World Food Programme (WFP),Italy,,Posted 6 days ago,Closing soon: 25 Feb 2023,https://www.unjobnet.org/jobs/detail/54033507
"Call for Consultants - Monitoring, Evaluation, Research, and Learning Proposal Writers",Winrock International,Remote Work,,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54033072
Traineeship in Data Analytics,International Committee of the Red Cross (ICRC),,Internship,Posted 6 days ago,,https://www.unjobnet.org/jobs/detail/54031338
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
Consultant - Data Scientist for Pandemic and Epidemic Intelligence,World Health Organization (WHO),Multiple locations,,Posted 6 days ago,Closing soon: 24 Feb 2023,https://www.unjobnet.org/jobs/detail/54030836
Data Scientist (NPSA),United Nations University (UNU),Pretoria (South Africa),Consultancy,Posted 6 days ago,Close on 12 Mar 2023,https://www.unjobnet.org/jobs/detail/54022276
"VN 2023 42 Migration Crisis Support Officer (P2) Geneva, Switzerland",International Organization for Migration (IOM),Geneva (Switzerland),Entry Professional,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54021853
Post-Doctoral Fellow (Data Systems),WorldFish,,,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54020287
Researcher - Digital Technology & SDGs (PSA contract),United Nations University (UNU),Macao,Consultancy,Posted 1 week ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/54017509
"Senior Fellow-AI Governance Project, Strategic Technologies Program",The Center for Strategic and International Studies (CSIS),Washington DC (United States),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54011035
Senior Analyst - West Africa,Danish Refugee Council (DRC),Dakar (Senegal),,Posted 1 week ago,Close on 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54011034
Senior Analyst - Latin America,Danish Refugee Council (DRC),Bogota (Colombia),,Posted 1 week ago,Close on 27 Feb 2023,https://www.unjobnet.org/jobs/detail/54011033
Consultant for Egypt to support micro and macro-level data,International Food Policy Research Institute (IFPRI),Cairo (Egypt),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54010733
"Consultoría Internacional: Coordinador de Encuesta de Indicadores Múltiples por Conglomerados MICS en Nicaragua, 9 meses",United Nations Children's Fund (UNICEF),Nicaragua,,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54006346
Programme Analyst,United Nations Development Programme (UNDP),Kabul (Afghanistan),Entry Professional,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54005760
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
"Finance Analyst, Green Partnerships",European Bank for Reconstruction and Development (EBRD),London (United Kingdom),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004366
FI Analyst RO,European Bank for Reconstruction and Development (EBRD),Tashkent (Uzbekistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004365
"Analyst, Banking ( Agribusiness)",European Bank for Reconstruction and Development (EBRD),London (United Kingdom),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004363
Analyst FI Belgrade,European Bank for Reconstruction and Development (EBRD),Belgrade (Serbia),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004362
"Analyst, Chisinau",European Bank for Reconstruction and Development (EBRD),Chisinau (Moldova),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004361
Social Equity Research & Storytelling Intern Associate (Unpaid role),Ashoka,Arlington (United States),Internship,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54002746
Business and Human Rights Researcher/Advisor,Amnesty International,United KingdomIreland,,Posted 1 week ago,Close on 2 Mar 2023,https://www.unjobnet.org/jobs/detail/54002733
"Project Manager, Common Funded Integrated Resources Information System (CIRIS)",The North Atlantic Treaty Organization (NATO),Brussels (Belgium),Full-time,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/54002054
SUPPLY CHAIN BUSINESS INTELLIGENCE OFFICER,United Nations Truce Supervision Organization (UNTSO),Bogota (Colombia),Mid-level Professional,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54000278
Evaluation Analyst,United Nations Development Programme (UNDP),New York (United States),Entry Professional,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53999697
Researcher to support Empower for Inclusion project context analysis and developing of the full proposal,United Nations Development Programme (UNDP),Dili (East Timor),Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53999695
National Consultant - Thailand Programme (Open for Thai Nationality only),United Nations Development Programme (UNDP),Bangkok (Thailand),Consultancy,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53999688
"Asociado(a) Senior de VAM (Vulnerabilidades, Análisis y Mapeo)",World Food Programme (WFP),Guatemala,,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53999404
Consultant - GIS Data Management,World Health Organization (WHO),Multiple locations,,Posted 1 week ago,Close on 11 Mar 2023,https://www.unjobnet.org/jobs/detail/53994196
Evaluation Officer - Environment,World Bank,Washington DC (United States),,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53993828
Senior Research Scientist (Updated),"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Trieste (Italy),Mid-level Professional,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53987880
Chargé.e de projet de recherche « les coopérations intergénérationnelles,Ashoka,Paris (France),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53986429
"Research, Monitoring and Evaluation (M&E) Advisor",International Rescue Committee (IRC),Kenya,,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53986428
"Giga Data and Country Coordination Consultant, Office of Innovation, 12 months (remote)",United Nations Children's Fund (UNICEF),SwedenRemote Work,Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53984035
User Researcher (NPSA5),United Nations Development Programme (UNDP),Yerevan (Armenia),Full-time,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53983471
Data Science Assistant - Temporary [Temporary],United Nations Office on Drugs and Crime (UNODC),Vienna (Austria),Associate,Posted 1 week ago,Close on 10 Mar 2023,https://www.unjobnet.org/jobs/detail/53979604
"Individual Consultancy - International consultant to provide technical support to the knowledge, attitudes and practices (KAP) study on the parenting and childcare practices in the Maldives",United Nations Children's Fund (UNICEF),Maldives,Consultancy,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53979597
Monitoring and Evaluation Analyst (NPSA9),United Nations Development Programme (UNDP),Honiara (Solomon Islands),Full-time,Posted 1 week ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/53979025
Financial Analyst - Finance & Accounting,International Finance Corporation (IFC),Washington DC (United States),,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53977929
Analyst - Research,European Bank for Reconstruction and Development (EBRD),London (United Kingdom),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53972968
"Program Coordinator & Research Assistant - Project on AI Governance, Strategic Technologies Program",The Center for Strategic and International Studies (CSIS),Washington DC (United States),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967930
Consultant for Tajikistan Evaluation and Analysis Household Survey,International Food Policy Research Institute (IFPRI),Tajikistan,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53967629
Finance Associate,United Nations Development Programme (UNDP),Juba (South Sudan) Sudan,Associate,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53962719
Finance Analyst,United Nations Development Programme (UNDP),Juba (South Sudan) Sudan,Entry Professional,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53962718
"Research Dissemination Intern, Strategy & Insights",Population Services International (PSI),United States,Internship,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961928
Clinical Research Associate II,FHI 360,South Africa,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961584
Data & Analytics Manager,International Committee of the Red Cross (ICRC),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53961235
"ASSOCIATE DEVELOPMENT COORDINATION OFFICER, DATA MANAGEMENT AND RESULTS MONITOR",United Nations Secretariat (UN),Brazzaville (Republic of the Congo),Entry Professional,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53957376
"Chief P5, Supply Chain Research & Development (SCOD) - Rome, Italy",World Food Programme (WFP),Rome (Italy),Chief and Senior Professional,Posted 1 week ago,Close on 13 Mar 2023,https://www.unjobnet.org/jobs/detail/53956496
Data Engineer,Food and Agriculture Organization (FAO),Multiple locations,Consultancy,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/53955862
E T Consultant - Climate Change,World Bank,Washington DC (United States),,Posted 1 week ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/53955638
Researcher - Libya,Amnesty International,LibyaTunisia,,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/53955053
Research Scholar in economics of land-based mitigation,International Institute for Applied Systems Analysis (IIASA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53954853
"NATIONAL POST: Youth Analyst, Garowe Somalia [NOA]",United Nations Development Programme (UNDP),Garoowe (Somalia),Entry Professional,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53952098
"National consultant to conduct a Perception Study on the efficacy of COVID 19 risk communication and community engagement approaches among refugee populations in Yumbe, Adjumani and Kyegegwa Districts",United Nations Development Programme (UNDP),Yumbe (Uganda) Kampala (Uganda) Adjumani (Uganda),Consultancy,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53952095
Wildlife and Biodiversity Program Coordinator,Center for International Forestry Research (CIFOR),Democratic Republic of the Congo,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950318
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
National Researcher - Water Resources Management,International Water Management Institute (IWMI),Lahore (Pakistan),Locallly Recruited,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950196
Research Scholar - Integrated Assessment Modeling,International Institute for Applied Systems Analysis (IIASA),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950174
"Senior Programme Officer, COVAX Data, Monitoring and Insights (Temporary)","Gavi, The Vaccine Alliance (Gavi)",Geneva (Switzerland),,Posted 1 week ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/53949841
Researcher (Antimicrobial Resistance Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53949791
